RANK,WORD,FREQUENCY,POS
831,नयी,402,Unk
832,व्यक्तित्व,401,Unk
833,बैठा,401,Unk
834,कर्मचारियों,401,Unk
835,आयोग,401,NN
836,मुंह,400,Unk
837,बोर्ड,398,NNC
838,खोज,397,Unk
839,किस्म,397,Unk
840,व्यक्त,396,JVB
841,प्रवेश,396,Unk
842,रेखा,395,Unk
843,कल्पना,395,Unk
844,राजस्थान,394,NNC
845,करेगा,393,VFM
846,इन्हें,393,Unk
847,व्यवसाय,392,Unk
848,राज,392,NNC
849,इस्तेमाल,392,NVB
850,लेखक,391,Unk
851,प्राप्ति,391,Unk
852,कितने,391,Unk
853,कानून,391,
854,जिन्हें,389,PRP
855,ख,389,Unk
856,कार्यों,389,Unk
857,अंग्रेजी,389,Unk
858,साधारण,388,Unk
859,सुन्दर,386,Unk
860,सीमित,386,Unk
861,स्वास्थ्य,385,Unk
862,नष्ट,385,JVB
863,जिनके,385,Unk
864,जानते,385,Unk
865,जानता,385,Unk
866,माननीय,384,Unk
867,आधारित,383,Unk
868,उप,382,NNC
869,व्यय,381,Unk
870,आय,381,Unk
871,शैली,380,Unk
872,वापस,380,JVB
873,छोड़कर,380,Unk
874,चित्रों,380,Unk
875,होनी,379,VNN
876,संभव,379,Unk
877,शेष,379,Unk
878,मई,379,Unk
879,बनाये,379,VFM
880,आम,379,JJ
881,निकट,378,Unk
882,तेजी,378,NN
883,डा,378,Unk
884,आर,378,NNPC
885,परीक्षा,377,Unk
886,गैस,376,Unk
887,क्षेत्रीय,376,Unk
888,उपयुक्त,376,Unk
889,अंग,376,Unk
890,रहेगा,375,VFM
891,निर्भर,375,Unk
892,जाएगी,375,VAUX
893,जरूरत,375,Unk
894,कपड़े,375,Unk
895,मुक्त,374,Unk
896,मानक,374,Unk
897,नया,374,JJ
898,जांच,374,NVB
899,हरियाणा,373,NNP
900,सका,373,Unk
901,खड़ी,373,Unk
902,किसानों,373,NN
903,करो,373,Unk
904,भविष्य,372,NN
905,दुनिया,371,NN
906,सम्भव,370,Unk
907,संस्थान,370,NN
908,भूमिका,370,Unk
909,पुस्तकालय,370,Unk
910,तत्व,370,Unk
911,शिक्षण,368,Unk
912,प्रसिद्ध,368,Unk
913,तौर,368,NN
914,चाहती,368,VFM
915,सो,367,Unk
916,सेना,367,NN
917,मकान,367,NN
918,पाता,365,Unk
919,कठिन,365,JVB
920,औ,365,Unk
921,लाने,364,Unk
922,घटना,364,NN
923,रूपये,363,NN
924,प्राकृतिक,363,Unk
925,जितना,363,Unk
926,अन्तर,363,Unk
927,सीधे,362,Unk
928,बदल,362,Unk
929,प्रधान,362,Unk
930,नए,362,JJ
931,इसीलिए,362,Unk
932,सुख,361,Unk
933,परम्परा,361,Unk
934,थोड़ा,361,QF
935,मिले,360,VFM
936,समितियों,358,Unk
937,मार,358,VFM
938,बिहार,358,NNP
939,पड़ती,358,Unk
940,सात,357,QFNUM
941,खाना,357,Unk
942,पौधे,356,Unk
943,लघु,355,Unk
944,यात्रा,355,NN
945,वितरण,354,Unk
946,बंद,354,JJ
